sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.0003656410068400202,0.00024209462240694826,0.00042376534267848546,0.0009744143336085815
10.0,3.656660120126679e-06,2.4211597564106085e-06,4.248585899314505e-06,9.744875744150784e-06
100.0,4.204384582703453e-08,3.028431036037939e-08,4.7080788262466203e-08,1.1103580883436396e-07
1000.0,4.204384582703453e-10,3.028431036037948e-10,4.70807882624662e-10,1.1103580883436387e-09
10000.0,4.2043845827034516e-12,3.028431036037948e-12,4.708078826246627e-12,1.1103580883436388e-11
100000.0,4.204384582703462e-14,3.028431036037948e-14,4.708078826246618e-14,1.1103580883436388e-13
0.1,0.03633729590595581,0.024024362428529077,0.04211329579638797,0.09714306850924391
20.0,9.176968299227996e-07,6.095594346515814e-07,1.0621469986083543e-06,2.45443609873506e-06
30.0,4.671538425226064e-07,3.364923373375494e-07,5.231198695829574e-07,1.2337312092707121e-06
40.0,2.6277403641896557e-07,1.8927693975237153e-07,2.9425492664041367e-07,6.939738052147748e-07
22.0,7.584271542178841e-07,5.037681457942106e-07,8.77807462204727e-07,2.0284596153778037e-06
24.0,7.299278789415717e-07,5.257692770899214e-07,8.173747962233722e-07,1.704469556897621e-06
26.0,6.219503820567249e-07,4.479927568103472e-07,6.964613648293813e-07,1.452329102529898e-06
28.0,5.362735437121753e-07,3.86279468882391e-07,6.005202584498231e-07,1.4162730718668873e-06
25.0,6.727015332325525e-07,4.845489657660702e-07,7.532926121994593e-07,1.5708391508756163e-06
27.0,5.767331389167983e-07,4.1542263868833305e-07,6.45826999485133e-07,1.3467413949134767e-06
23.0,7.947796942728659e-07,5.724822374362839e-07,8.899959974001163e-07,1.8559063509751688e-06
23.5,7.613190733731916e-07,5.48380450165314e-07,8.525267227246031e-07,1.7777717742012498e-06
27.5,5.55951680357482e-07,4.0045369071576085e-07,6.225558778507926e-07,1.2982141864987905e-06
22.5,7.250938170572505e-07,4.816272284337042e-07,9.29990879258592e-07,1.9393075690854017e-06
22.75,8.123433561557207e-07,4.711001768155871e-07,9.096638234506206e-07,1.8969196150811577e-06
27.75,5.459796552492106e-07,3.932708106209493e-07,6.113891828580959e-07,1.2749283068983803e-06
22.25,7.414795986010273e-07,4.925111142398976e-07,9.510069589691424e-07,1.9831323426180024e-06
2.0,9.141507969999506e-05,6.052726844374619e-05,0.00010594668060689967,0.00024360940346846758
4.0,2.2854047814601726e-05,1.5132185073296359e-05,2.6486990847034297e-05,6.090537114051178e-05
6.0,1.0157377475461381e-05,6.725434206499827e-06,1.177202234207835e-05,2.7069083875950454e-05
8.0,5.713529343854657e-06,3.7830604151839505e-06,6.621767770546726e-06,1.5226365602291401e-05
12.0,2.549157110218212e-06,1.693220039685653e-06,2.9504074660893534e-06,6.767275487006572e-06
14.0,1.8728503498626932e-06,1.243998582474377e-06,2.167646563979147e-06,4.971876162933784e-06
16.0,1.4339011626559937e-06,9.52436507291696e-07,1.6596045311131771e-06,3.8350562229320096e-06
18.0,1.1329590050042534e-06,7.525424758179852e-07,1.3112925399517732e-06,3.0301679633445393e-06
0.01,2.7937716997939566,1.677797747138618,3.2226551116492343,8.76340933449421
0.5,0.0014622801499654095,0.0009681475625100422,0.001694733610991087,0.003897285281973806
9.0,4.5143945197855575e-06,2.989085556091378e-06,5.2320151520708365e-06,1.2030709889211945e-05
11.0,3.033707370842175e-06,2.015071567072349e-06,3.511228415775474e-06,8.053616766536898e-06
15.0,1.631460820219306e-06,1.083661045299508e-06,1.888261088497336e-06,4.363441668090449e-06
