sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.0003656528487327656,0.00024210425447731865,0.00042377901249021665,0.0009744298526512133
10.0,3.6566612753292547e-06,2.4211606976320634e-06,4.2485873410776534e-06,9.744877293559542e-06
100.0,4.204384582703453e-08,3.028431036037939e-08,4.7080788262466203e-08,1.1103580883436396e-07
1000.0,4.204384582703453e-10,3.028431036037948e-10,4.70807882624662e-10,1.1103580883436387e-09
10000.0,4.2043845827034516e-12,3.028431036037948e-12,4.708078826246627e-12,1.1103580883436388e-11
100000.0,4.204384582703462e-14,3.028431036037948e-14,4.708078826246618e-14,1.1103580883436388e-13
0.1,0.03645062093274443,0.024116949380176615,0.042245051068621524,0.09729232268629044
20.0,9.176969200616139e-07,6.095595084041878e-07,1.0621471012026747e-06,2.4544362058981007e-06
30.0,4.671538425226064e-07,3.364923373375494e-07,5.231198695829574e-07,1.2337312092707121e-06
40.0,2.6277403641896557e-07,1.8927693975237153e-07,2.9425492664041367e-07,6.939738052147748e-07
22.0,7.584272189186957e-07,5.037681986914861e-07,8.778075357783789e-07,2.0284596891402165e-06
24.0,7.299278789415717e-07,5.257692770899214e-07,8.173747962233722e-07,1.7044696094882807e-06
26.0,6.219503820567249e-07,4.479927568103472e-07,6.964613648293813e-07,1.4523291411980973e-06
28.0,5.362735437121753e-07,3.86279468882391e-07,6.005202584498231e-07,1.4162730718668873e-06
25.0,6.727015332325525e-07,4.845489657660702e-07,7.532926121994593e-07,1.5708391958140258e-06
27.0,5.767331389167983e-07,4.1542263868833305e-07,6.45826999485133e-07,1.3467414284068817e-06
23.0,7.947796942728659e-07,5.724822374362839e-07,8.899959974001163e-07,1.8559064129969564e-06
23.5,7.613190733731916e-07,5.48380450165314e-07,8.525267227246031e-07,1.777771831265154e-06
27.5,5.55951680357482e-07,4.0045369071576085e-07,6.225558778507926e-07,1.2982142177464888e-06
22.5,7.250938770151164e-07,4.816272774323128e-07,9.29990879258592e-07,1.9393076366584724e-06
22.75,8.123433561557207e-07,4.711002240380305e-07,9.096638234506206e-07,1.8969196798067545e-06
27.75,5.459796552492106e-07,3.932708106209493e-07,6.113891828580959e-07,1.2749283370976977e-06
22.25,7.414796608626882e-07,4.925111651419711e-07,9.510069589691424e-07,1.9831324131756978e-06
2.0,9.141582087018388e-05,6.052787007517509e-05,0.00010594753585429504,0.00024361037342015976
4.0,2.285409406363191e-05,1.5132222722319149e-05,2.6487044224493963e-05,6.090543210165189e-05
6.0,1.0157386569473234e-05,6.7254416176183956e-06,1.1772032848638182e-05,2.7069095915462785e-05
8.0,5.713532197932709e-06,3.7830627419400004e-06,6.621771076303074e-06,1.522636940299253e-05
12.0,2.549157726260062e-06,1.693220543503157e-06,2.9504081713208674e-06,6.767276230115721e-06
14.0,1.8728506891918577e-06,1.2439988601824204e-06,2.1676469519547933e-06,4.971876562045724e-06
16.0,1.4339013669057338e-06,9.524366744732267e-07,1.6596047643425743e-06,3.835056482018565e-06
18.0,1.1329591368443138e-06,7.525425836922988e-07,1.3112926902859933e-06,3.0301681257300404e-06
0.01,3.115367517406121,1.9582371361680022,3.59710475052778,9.10408061083566
0.5,0.0014624693774926455,0.0009683014952821912,0.0016949520957361183,0.0038975332943730566
9.0,4.514396291813837e-06,2.989087000886574e-06,5.232017207180819e-06,1.2030712256562054e-05
11.0,3.033708236232243e-06,2.0150722747788265e-06,3.5112294069619627e-06,8.053617821671205e-06
15.0,1.6314610809550276e-06,1.0836612586923577e-06,1.8882613864104502e-06,4.363442002976897e-06
