sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
10.0,4.204384582703449e-06,3.0284310360379446e-06,4.708078826246619e-06,1.1103580883436397e-05
100.0,4.204384582703453e-08,3.028431036037939e-08,4.7080788262466203e-08,1.1103580883436396e-07
1000.0,4.204384582703453e-10,3.028431036037948e-10,4.70807882624662e-10,1.1103580883436387e-09
10000.0,4.2043845827034516e-12,3.028431036037948e-12,4.708078826246627e-12,1.1103580883436388e-11
100000.0,4.204384582703462e-14,3.028431036037948e-14,4.708078826246618e-14,1.1103580883436388e-13
0.1,0.042043845827034715,0.03028431036037943,0.04708078826246618,0.11103580883436373
20.0,1.0510961456758623e-06,7.571077590094861e-07,1.1770197065616547e-06,2.7758952208590993e-06
30.0,4.671538425226064e-07,3.364923373375494e-07,5.231198695829574e-07,1.2337312092707121e-06
40.0,2.6277403641896557e-07,1.8927693975237153e-07,2.9425492664041367e-07,6.939738052147748e-07
22.0,8.686745005585652e-07,6.257088917433785e-07,9.727435591418646e-07,2.294128281701738e-06
24.0,7.299278789415717e-07,5.257692770899214e-07,8.173747962233722e-07,1.9277050144854832e-06
26.0,6.219503820567249e-07,4.479927568103472e-07,6.964613648293813e-07,1.642541550804201e-06
28.0,5.362735437121753e-07,3.86279468882391e-07,6.005202584498231e-07,1.4162730718668873e-06
25.0,6.727015332325525e-07,4.845489657660702e-07,7.532926121994593e-07,1.7765729413498234e-06
27.0,5.767331389167983e-07,4.1542263868833305e-07,6.45826999485133e-07,1.5231249497169268e-06
23.0,7.947796942728659e-07,5.724822374362839e-07,8.899959974001163e-07,2.0989755923320256e-06
23.5,7.613190733731916e-07,5.48380450165314e-07,8.525267227246031e-07,2.0106076746829143e-06
27.5,5.55951680357482e-07,4.0045369071576085e-07,6.225558778507926e-07,1.4682421002891087e-06
22.5,8.304957200401885e-07,5.982085997111988e-07,9.29990879258592e-07,2.1932999275923743e-06
22.75,8.123433561557207e-07,5.851333966502495e-07,9.096638234506206e-07,2.14536039288712e-06
27.75,5.459796552492106e-07,3.932708106209493e-07,6.113891828580959e-07,1.441906453493891e-06
22.25,8.492633925420437e-07,6.117270114456152e-07,9.510069589691424e-07,2.2428644632619904e-06
