sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0
100000.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0
23.5,0.0,0.0,0.0,0.0
27.5,0.0,0.0,0.0,0.0
22.5,0.0,0.0,0.0,0.0
22.75,0.0,0.0,0.0,0.0
27.75,0.0,0.0,0.0,0.0
22.25,0.0,0.0,0.0,0.0
