alpha,nearest,linear,clough-tocher,gaussian
500.0,0.0007478694631412327,0.0007129955021858217,0.0008269754773577654,0.003044944685892574
50.0,0.0007478694568916565,0.0007129954957711359,0.0008269754710932841,0.0030449446810623623
10.0,0.0007478693053780703,0.0007129953402556917,0.0008269753192227137,0.003044944563966852
1.0,0.0007478536823243123,0.0007129793045965274,0.0008269596593327982,0.0030449324901019115
0.5,0.0007478063561653413,0.0007129307290793159,0.0008269122213764061,0.0030448959141306667
0.05,0.0007417777589903791,0.0007067495131532348,0.0008208645383008757,0.0030402297802425257
0.02,0.000715165253017088,0.0006796002706057364,0.0007940352874166022,0.0030196034904779526
0.01,0.000652769812079487,0.0006165970055338601,0.0007304158903178526,0.002972084601156234
0.005,0.0005274981588602308,0.0004912333650238823,0.0006032024223336949,0.0028768334206448675
0.002,0.0003053311026664595,0.0002469996117522389,0.0003764663215451101,0.002681682110160868
0.001,0.00027790302315196084,0.0002412806630891606,0.00035728617722533186,0.0027664520805345924
0.0005,0.00043868664286909333,0.00040197981069536816,0.0005114556973215332,0.0028419109142720396
5e-05,0.0006663315151202792,0.0006302861484051063,0.0007408732547133884,0.003003211517408822
