alpha,nearest,linear,clough-tocher,gaussian
500.0,2.3697049060499605e-14,1.9273839167940503e-14,2.735196926942597e-14,3.105051787399228e-14
50.0,2.36970056185099e-12,1.9273826572332273e-12,2.7351885686157935e-12,3.1050509880856755e-12
10.0,5.924263501184208e-11,4.818458189804598e-11,6.837989126339704e-11,7.762549860216696e-11
1.0,5.923379280299241e-09,4.817762242424843e-09,6.837114861804934e-09,7.761975982851108e-09
0.5,2.3685693266813773e-08,1.9265479426175702e-08,2.7341891788785667e-08,3.1038592218797994e-08
0.05,2.2688687514344523e-06,1.8490281304657984e-06,2.63901277841893e-06,3.0009745849617647e-06
0.02,1.1761661896512871e-05,9.783276331158963e-06,1.3993959653833968e-05,1.5532716070219883e-05
0.01,3.189093873123487e-05,2.7275075701938434e-05,3.83115161046124e-05,3.86198611759341e-05
0.005,6.711839830378595e-05,5.7903524689487216e-05,7.898783901199097e-05,6.773944507883721e-05
0.002,9.870766226895725e-05,0.00011157185595968126,0.00011919190181742242,0.00010754489155944618
0.001,6.503725058316458e-05,1.5852611624556896e-05,4.51849711870712e-05,6.287023014741355e-05
0.0005,1.8648870345117474e-05,1.7747978684817837e-05,2.1995211709178876e-05,3.398636831348804e-05
5e-05,2.544637657302843e-07,2.3837155299039145e-07,2.763461523699377e-07,4.0540645812461193e-07
