alpha,nearest,linear,clough-tocher,gaussian
500.0,1.962446572659573e-14,1.2094980768105708e-14,2.4606690224807045e-14,3.932696690801592e-14
50.0,1.962446758549888e-12,1.209497751428672e-12,2.4606700853927844e-12,3.932695955470125e-12
10.0,4.9061023785358883e-11,3.0237233569634855e-11,6.151663841107649e-11,9.831765424101802e-11
1.0,4.90548454210163e-09,3.023220298892557e-09,6.150907584618233e-09,9.829735141514113e-09
0.5,1.9615912201860912e-08,1.2088168953485955e-08,2.4595427472101946e-08,3.929610943265199e-08
0.05,1.8959789626693539e-06,1.1458178129100718e-06,2.3718938906211743e-06,3.6537111384462227e-06
0.02,1.0183914180748048e-05,5.90558460879624e-06,1.2487989219298808e-05,1.673575292989119e-05
0.01,3.034024264193738e-05,1.590094139937982e-05,3.603685793564392e-05,3.518370013985436e-05
0.005,7.338689383224168e-05,3.805874423578116e-05,8.258694744738491e-05,6.880436313416156e-05
0.002,0.0001418393355889747,6.565446548172565e-05,9.983108449671167e-05,9.412613250568135e-05
0.001,0.00011446425687097021,7.957547530231612e-06,5.2583791609931103e-05,1.9689757154957503e-05
0.0005,2.0660921880667648e-05,1.958396168315736e-05,1.7973100199293224e-05,2.1922355854193854e-05
5e-05,2.645227028963083e-07,2.517249203287898e-07,2.5001296985753025e-07,2.89455847555702e-07
