alpha,nearest,linear,clough-tocher,gaussian
500.0,0.0007313293889748204,0.00048422777873752824,0.0008475853716533124,0.0019488907458905817
50.0,0.0007313293866288081,0.0004842277768294166,0.0008475853689454704,0.001948890742816582
10.0,0.0007313293297600771,0.0004842277305813089,0.0008475853033020776,0.001948890668295393
1.0,0.0007313234650844747,0.0004842229605576452,0.0008475785340189437,0.001948882987334669
0.5,0.0007313056974574727,0.0004842085089475435,0.0008475580249744888,0.001948859705297521
0.05,0.0007290154979013185,0.00048233901419492527,0.0008449027804531123,0.0019458465154432386
0.02,0.0007182205978107225,0.00047344091079196604,0.00083219306762798,0.0019315798851481944
0.01,0.0006895243682182445,0.0004491949936127003,0.0007978289814794208,0.0018951382142922868
0.005,0.0006233927301844031,0.00039187565853428377,0.0007197490463080463,0.0018209268233200242
0.002,0.0004835353057612745,0.00027528580311392373,0.0005494519282659637,0.0016627478007494054
0.001,0.0004067803098633013,0.00027413729979910626,0.0004920621409867424,0.0015878991242904792
0.0005,0.0007028521676130244,0.00046770616157559413,0.0005960620079066986,0.0016762647408318817
5e-05,0.0006756218987055648,0.0004419778994366304,0.000773615112322846,0.0018905337460516703
